,Rank,Country,Name,Last name,Full Name,Matches Played,Matches Won,Match Time,Aces,Double Faults,1st Serve Won %,2nd Serve Won %,Points per Match,Break Points Saved %
128,128,ARG,Juan,Monaco,Juan Monaco,612,341,1:46,1309,1125,,52.49%,151.69,
129,130,IND,Ramesh,Krishnan,Ramesh Krishnan,611,323,,,,,,,
130,131,RUS,Andrei,Chesnokov,Andrei Chesnokov,605,346,1:36,,840,,,156.24,
131,132,ARG,Juan,Chela,Juan Chela,603,326,1:47,1800,1668,,50.78%,156.08,
132,133,FRA,Jeremy,Chardy,Jeremy Chardy,600,297,1:42,4792,2494,74.02%,49.46%,160.77,62.72%
133,134,USA,Johan,Kriek,Johan Kriek,598,376,,,,,,,
134,135,CZE,Jiri,Novak,Jiri Novak,597,337,1:30,2253,1227,,50.29%,156.61,59.85%
135,136,RSA,Kevin,Anderson,Kevin Anderson,594,350,1:48,7465,1753,76.99%,52.87%,165.76,66.01%
136,137,USA,Tim,Wilkison,Tim Wilkison,591,294,,,,,,,
137,138,FRA,Sebastien,Grosjean,Sebastien Grosjean,588,341,1:47,3123,960,72.11%,52.47%,164.14,60.88%
138,139,CHI,Marcelo,Rios,Marcelo Rios,584,392,1:26,2508,1515,71.29%,52.96%,152.49,60.89%
139,140,FRA,Paul,Mathieu,Paul Mathieu,582,276,1:47,2789,1759,71.83%,51.63%,155.53,59.99%
140,141,USA,Jeff,Borowiak,Jeff Borowiak,580,282,,,,,,,
141,142,ARG,David,Nalbandian,David Nalbandian,575,383,1:50,2030,1787,,52.26%,162.99,
142,143,USA,Kevin,Curren,Kevin Curren,573,339,,,,76.12%,49.96%,,60.00%
143,144,CHI,Fernando,Gonzalez,Fernando Gonzalez,572,370,1:44,3751,2184,74.29%,51.52%,163.18,63.70%
144,145,USA,Brian,Teacher,Brian Teacher,570,335,,,,,,,
145,145,AUS,Jason,Stoltenberg,Jason Stoltenberg,570,303,1:30,2428,1621,73.01%,,160.76,60.08%
146,145,USA,Richey,Reneberg,Richey Reneberg,570,307,1:29,1821,1025,71.18%,50.89%,158.41,
147,148,FRA,Julien,Benneteau,Julien Benneteau,569,272,1:48,3331,1883,,,158.82,
148,148,USA,Sandy,Mayer,Sandy Mayer,569,370,,,,,,,
149,150,SRB,Viktor,Troicki,Viktor Troicki,568,295,1:37,4243,1353,72.41%,,155.10,59.70%
150,150,BEL,Xavier,Malisse,Xavier Malisse,568,294,1:38,3722,1219,73.09%,50.90%,154.56,
151,152,ITA,Corrado,Barazzutti,Corrado Barazzutti,564,333,,,,,,,
152,153,BUL,Grigor,Dimitrov,Grigor Dimitrov,562,336,1:44,3844,1952,74.41%,51.13%,162.26,63.16%
153,154,GER,Michael,Stich,Michael Stich,561,385,1:33,3452,1673,77.84%,52.46%,167.18,66.07%
154,155,USA,Bill,Scanlon,Bill Scanlon,559,300,,,,,,,
155,155,NED,Sjeng,Schalken,Sjeng Schalken,559,292,1:39,2019,1842,,49.92%,158.77,
156,157,RUS,Alexander,Volkov,Alexander Volkov,558,303,1:31,1898,1387,71.78%,,166.50,60.73%
157,158,DEN,Kenneth,Carlsen,Kenneth Carlsen,555,267,1:39,3956,1656,74.96%,50.20%,159.58,64.02%
158,159,USA,Charlie,Pasarell,Charlie Pasarell,553,284,,,,,,,
159,159,BRA,Gustavo,Kuerten,Gustavo Kuerten,553,358,1:38,4303,1255,76.28%,51.83%,163.10,62.75%
160,161,CRO,Nikola,Pilic,Nikola Pilic,551,302,,,,,,,
161,161,AUS,Ross,Case,Ross Case,551,276,,,,,,,
162,163,AUS,Patrick,Rafter,Patrick Rafter,549,358,1:36,3633,1858,75.64%,51.72%,164.30,64.27%
163,164,SRB,Janko,Tipsarevic,Janko Tipsarevic,546,288,1:52,3452,1254,73.61%,51.87%,158.68,61.17%
164,164,AUS,Kim,Warwick,Kim Warwick,546,280,,,,,,,
165,166,ROU,Andrei,Pavel,Andrei Pavel,545,279,1:36,2390,1020,,49.64%,156.62,
166,166,USA,Andrew,Pattison,Andrew Pattison,545,284,,,,,,,
167,166,CZE,Karel,Novacek,Karel Novacek,545,299,1:33,1913,705,73.38%,50.02%,159.38,61.97%
168,166,CAN,Milos,Raonic,Milos Raonic,545,372,1:44,8157,1724,81.45%,55.15%,161.34,69.61%
169,170,NED,Jan,Siemerink,Jan Siemerink,544,273,1:35,3386,2354,74.88%,50.61%,163.85,64.70%
170,171,AUS,Richard,Fromberg,Richard Fromberg,543,256,1:39,3687,1638,74.06%,,166.61,61.19%
171,171,USA,Tim,Mayotte,Tim Mayotte,543,340,,,,,,,
172,171,AUS,Tony,Roche,Tony Roche,543,361,,,,,,,
173,174,ESP,Albert,Montanes,Albert Montanes,542,255,1:35,1814,1707,,49.45%,147.04,
174,175,ISR,Amos,Mansdorf,Amos Mansdorf,539,306,1:28,,,69.76%,52.01%,156.41,61.36%
175,176,EGY,Ismail,Shafei,Ismail Shafei,538,244,,,,,,,
176,177,SVK,Karol,Kucera,Karol Kucera,537,293,1:35,2436,2315,70.83%,,156.31,
177,178,ESP,Roberto,Agut,Roberto Agut,535,334,1:43,1679,1029,69.77%,53.90%,159.89,61.71%
178,179,UKR,Andrei,Medvedev,Andrei Medvedev,534,321,1:30,2768,1739,71.47%,,165.89,60.04%
179,180,USA,Jeff,Tarango,Jeff Tarango,533,239,1:34,1817,1785,,,160.46,59.65%
180,180,ARG,Jose,Clerc,Jose Clerc,533,381,,,,,,,
181,182,ESP,Felix,Mantilla,Felix Mantilla,531,313,1:39,1503,1225,,51.65%,153.21,
182,182,SWE,Magnus,Larsson,Magnus Larsson,531,310,1:27,3078,1163,72.88%,51.06%,164.69,62.80%
183,184,NED,Paul,Haarhuis,Paul Haarhuis,525,267,1:33,1924,963,69.72%,50.39%,157.98,60.63%
184,185,ZIM,Byron,Black,Byron Black,524,276,1:24,1534,1200,,50.46%,155.04,
185,186,USA,Mardy,Fish,Mardy Fish,521,302,1:44,4924,1439,77.27%,52.23%,156.76,62.42%
186,187,AUS,Mark,Philippoussis,Mark Philippoussis,517,313,1:39,6696,2492,80.04%,50.11%,171.52,64.33%
187,188,BEL,Olivier,Rochus,Olivier Rochus,514,238,1:45,,1250,,51.65%,158.65,
188,189,USA,Jimmy,Arias,Jimmy Arias,509,286,,,,,,,
189,190,ESP,Albert,Ramos,Albert Ramos,504,239,1:52,1715,1274,,51.72%,158.43,60.69%
190,190,GER,Florian,Mayer,Florian Mayer,504,243,1:29,2034,869,,50.03%,147.72,
191,192,AUS,Mark,Edmondson,Mark Edmondson,503,259,,,,,,,
192,193,FRA,Benoit,Paire,Benoit Paire,500,236,1:34,4274,2545,74.47%,,165.61,59.72%
193,193,URU,Marcelo,Filippini,Marcelo Filippini,500,248,1:39,,,,49.96%,149.54,
194,195,NED,Robin,Haase,Robin Haase,499,229,1:41,3126,1324,71.87%,49.45%,163.87,60.39%
195,196,MAR,Younes,Aynaoui,Younes Aynaoui,496,269,1:40,3132,1401,72.93%,50.55%,160.79,63.17%
196,197,CHI,Nicolas,Massu,Nicolas Massu,495,257,1:56,1926,1288,69.96%,50.72%,152.63,61.46%
197,197,USA,Tim,Gullikson,Tim Gullikson,495,272,,,,,,,
198,199,UZB,Denis,Istomin,Denis Istomin,492,229,1:40,2959,812,71.03%,51.05%,159.71,61.75%
199,200,PER,Jaime,Yzaga,Jaime Yzaga,490,266,1:35,,680,,50.38%,168.06,
200,201,GBR,John,Lloyd,John Lloyd,489,217,,,,,,,
201,202,BEL,David,Goffin,David Goffin,488,291,1:41,2572,1625,71.66%,50.45%,159.75,59.98%
202,203,ESP,Alberto,Martin,Alberto Martin,487,218,1:37,980,1645,,,146.43,
203,204,AUS,Geoff,Masters,Geoff Masters,486,233,,,,,,,
204,204,BLR,Max,Mirnyi,Max Mirnyi,486,244,1:39,4067,1598,75.99%,51.49%,159.00,64.00%
